Symbol,yf_ticker,Company Name,Industry
DUMMYVEDL4,DUMMYVEDL4.NS,Dummy Vedanta Ltd. 4,Metals & Mining
EIDPARRY,EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods
EIHOTEL,EIHOTEL.NS,EIH Ltd.,Consumer Services
EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components
ELECON,ELECON.NS,Elecon Engineering Co. Ltd.,Capital Goods
ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods
EMAMILTD,EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods
EMCURE,EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare
EMMVEE,EMMVEE.NS,Emmvee Photovoltaic Power Ltd.,Capital Goods
ENDURANCE,ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components
ENGINERSIN,ENGINERSIN.NS,Engineers India Ltd.,Construction
ERIS,ERIS.NS,Eris Lifesciences Ltd.,Healthcare
ESCORTS,ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods
ETERNAL,ETERNAL.NS,Eternal Ltd.,Consumer Services
EXIDEIND,EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components
NYKAA,NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services
FACT,FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals
FINCABLES,FINCABLES.NS,Finolex Cables Ltd.,Capital Goods
FSL,FSL.NS,Firstsource Solutions Ltd.,Services
FIVESTAR,FIVESTAR.NS,Five-Star Business Finance Ltd.,Financial Services
FORCEMOT,FORCEMOT.NS,Force Motors Ltd.,Automobile and Auto Components
FORTIS,FORTIS.NS,Fortis Healthcare Ltd.,Healthcare
GAIL,GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GVT&D,GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods
GMRAIRPORT,GMRAIRPORT.NS,GMR Airports Ltd.,Services
GABRIEL,GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components
GALLANTT,GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods
GRSE,GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods
GICRE,GICRE.NS,General Insurance Corporation of India,Financial Services
GILLETTE,GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods
GLAND,GLAND.NS,Gland Pharma Ltd.,Healthcare
GLAXO,GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare
GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare
MEDANTA,MEDANTA.NS,Global Health Ltd.,Healthcare
GODIGIT,GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services
GPIL,GPIL.NS,Godawari Power & Ispat Ltd.,Capital Goods
GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GODREJIND,GODREJIND.NS,Godrej Industries Ltd.,Diversified
GODREJPROP,GODREJPROP.NS,Godrej Properties Ltd.,Realty
GRANULES,GRANULES.NS,Granules India Ltd.,Healthcare
GRAPHITE,GRAPHITE.NS,Graphite India Ltd.,Capital Goods
GRASIM,GRASIM.NS,Grasim Industries Ltd.,Construction Materials
GRAVITA,GRAVITA.NS,Gravita India Ltd.,Metals & Mining
GESHIP,GESHIP.NS,Great Eastern Shipping Co. Ltd.,Services
FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals
GMDCLTD,GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Metals & Mining
HEG,HEG.NS,H.E.G. Ltd.,Capital Goods
HBLENGINE,HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods
HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,Information Technology
HDBFS,HDBFS.NS,HDB Financial Services Ltd.,Financial Services
HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services
HFCL,HFCL.NS,HFCL Ltd.,Telecommunication
HAVELLS,HAVELLS.NS,Havells India Ltd.,Consumer Durables
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components
HEXT,HEXT.NS,Hexaware Technologies Ltd.,Information Technology
HSCL,HSCL.NS,Himadri Speciality Chemical Ltd.,Chemicals
HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining
HAL,HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods
HINDCOPPER,HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining
HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC,HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining
POWERINDIA,POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods
HOMEFIRST,HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services
HONASA,HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods
HONAUT,HONAUT.NS,Honeywell Automation India Ltd.,Capital Goods
HUDCO,HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services
HYUNDAI,HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components
ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services
ICICIGI,ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIAMC,ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,Financial Services
ICICIPRULI,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services
IDBI,IDBI.NS,IDBI Bank Ltd.,Financial Services
IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services
IFCI,IFCI.NS,IFCI Ltd.,Financial Services
IIFL,IIFL.NS,IIFL Finance Ltd.,Financial Services
IRB,IRB.NS,IRB Infrastructure Developers Ltd.,Construction
IRCON,IRCON.NS,IRCON International Ltd.,Construction
ITCHOTELS,ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services
ITC,ITC.NS,ITC Ltd.,Fast Moving Consumer Goods
ITI,ITI.NS,ITI Ltd.,Telecommunication
INDGN,INDGN.NS,Indegene Ltd.,Healthcare
INDIACEM,INDIACEM.NS,India Cements Ltd.,Construction Materials
INDIAMART,INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services
INDIANB,INDIANB.NS,Indian Bank,Financial Services
IEX,IEX.NS,Indian Energy Exchange Ltd.,Financial Services
INDHOTEL,INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services
IOC,IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IOB,IOB.NS,Indian Overseas Bank,Financial Services
IRCTC,IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IRFC,IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services
IREDA,IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services
IGL,IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
INDUSTOWER,INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication
INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services
NAUKRI,NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services
INFY,INFY.NS,Infosys Ltd.,Information Technology
INOXWIND,INOXWIND.NS,Inox Wind Ltd.,Capital Goods
INTELLECT,INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology
INDIGO,INDIGO.NS,InterGlobe Aviation Ltd.,Services
IGIL,IGIL.NS,International Gemological Institute Ltd.,Services
IKS,IKS.NS,Inventurus Knowledge Solutions Ltd.,Information Technology
IPCALAB,IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare
JBCHEPHARM,JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare
JKCEMENT,JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials
JBMA,JBMA.NS,JBM Auto Ltd.,Automobile and Auto Components
JKTYRE,JKTYRE.NS,JK Tyre & Industries Ltd.,Automobile and Auto Components
JMFINANCIL,JMFINANCIL.NS,JM Financial Ltd.,Financial Services
JSWCEMENT,JSWCEMENT.NS,JSW Cement Ltd.,Construction Materials
JSWDULUX,JSWDULUX.NS,JSW Dulux Ltd.,Consumer Durables
JSWENERGY,JSWENERGY.NS,JSW Energy Ltd.,Power
JSWINFRA,JSWINFRA.NS,JSW Infrastructure Ltd.,Services
JSWSTEEL,JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining
JAINREC,JAINREC.NS,Jain Resource Recycling Ltd.,Metals & Mining
JPPOWER,JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power
J&KBANK,J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services
JINDALSAW,JINDALSAW.NS,Jindal Saw Ltd.,Capital Goods
JSL,JSL.NS,Jindal Stainless Ltd.,Metals & Mining
JINDALSTEL,JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining
JIOFIN,JIOFIN.NS,Jio Financial Services Ltd.,Financial Services
JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services
JUBLINGREA,JUBLINGREA.NS,Jubilant Ingrevia Ltd.,Chemicals
JUBLPHARMA,JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Healthcare
JWL,JWL.NS,Jupiter Wagons Ltd.,Capital Goods
JYOTICNC,JYOTICNC.NS,Jyoti CNC Automation Ltd.,Capital Goods
KPRMILL,KPRMILL.NS,K.P.R. Mill Ltd.,Textiles
KEI,KEI.NS,KEI Industries Ltd.,Capital Goods
KPITTECH,KPITTECH.NS,KPIT Technologies Ltd.,Information Technology
KAJARIACER,KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables
KPIL,KPIL.NS,Kalpataru Projects International Ltd.,Construction
KALYANKJIL,KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables
KARURVYSYA,KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services
KAYNES,KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods
KEC,KEC.NS,Kec International Ltd.,Construction
KFINTECH,KFINTECH.NS,Kfin Technologies Ltd.,Financial Services
KIRLOSENG,KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods
KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services
KIMS,KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare
LTF,LTF.NS,L&T Finance Ltd.,Financial Services
LTTS,LTTS.NS,L&T Technology Services Ltd.,Information Technology
LGEINDIA,LGEINDIA.NS,LG Electronics India Ltd.,Consumer Durables
LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services
LTFOODS,LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods
LTM,LTM.NS,LTM Ltd.,Information Technology
LT,LT.NS,Larsen & Toubro Ltd.,Construction
LATENTVIEW,LATENTVIEW.NS,Latent View Analytics Ltd.,Information Technology
LAURUSLABS,LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare
THELEELA,THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services
LEMONTREE,LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services
LENSKART,LENSKART.NS,Lenskart Solutions Ltd.,Consumer Services
LICI,LICI.NS,Life Insurance Corporation of India,Financial Services
LINDEINDIA,LINDEINDIA.NS,Linde India Ltd.,Chemicals
LLOYDSME,LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Metals & Mining
LODHA,LODHA.NS,Lodha Developers Ltd.,Realty
LUPIN,LUPIN.NS,Lupin Ltd.,Healthcare
MMTC,MMTC.NS,MMTC Ltd.,Services
MRF,MRF.NS,MRF Ltd.,Automobile and Auto Components
MGL,MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels
M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services
M&M,M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components
MANAPPURAM,MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services
MRPL,MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels
MANKIND,MANKIND.NS,Mankind Pharma Ltd.,Healthcare
MARICO,MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods
MARUTI,MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components
MFSL,MFSL.NS,Max Financial Services Ltd.,Financial Services
MAXHEALTH,MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare
MAZDOCK,MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
MEESHO,MEESHO.NS,Meesho Ltd.,Consumer Services
MINDACORP,MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components
MSUMI,MSUMI.NS,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components
MOTILALOFS,MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS,MPHASIS.NS,MphasiS Ltd.,Information Technology
MCX,MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services
MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services
NATCOPHARM,NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare
NBCC,NBCC.NS,NBCC (India) Ltd.,Construction
NCC,NCC.NS,NCC Ltd.,Construction
NHPC,NHPC.NS,NHPC Ltd.,Power
NLCINDIA,NLCINDIA.NS,NLC India Ltd.,Power
NMDC,NMDC.NS,NMDC Ltd.,Metals & Mining
NSLNISP,NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining
NTPCGREEN,NTPCGREEN.NS,NTPC Green Energy Ltd.,Power
NTPC,NTPC.NS,NTPC Ltd.,Power
NH,NH.NS,Narayana Hrudayalaya Ltd.,Healthcare
NATIONALUM,NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining
NAVA,NAVA.NS,Nava Ltd.,Power
NAVINFLUOR,NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals
NESTLEIND,NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods
NETWEB,NETWEB.NS,Netweb Technologies India Ltd.,Information Technology
NEULANDLAB,NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare
NEWGEN,NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology
NAM-INDIA,NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services
NIVABUPA,NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services
NUVAMA,NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services
NUVOCO,NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials
OBEROIRLTY,OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty
ONGC,ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
OIL,OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels
OLAELEC,OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components
OLECTRA,OLECTRA.NS,Olectra Greentech Ltd.,Automobile and Auto Components
